# group: 1 2 3 1 2 3 
# component: primary primary primary secondary secondary secondary 
# name: rv rv rv rv rv rv 

-122.240075598 184.533797294 66.0163149418 -144.831668231 -131.92319938 180.429548654 6336534.70465 
19.6435115573 103.009296437 62.6483634415 -96.5716052171 79.4133997047 -50.7332456729 2249136.8108 
-188.314180305 88.3074438144 151.984979997 -53.6676789324 28.9728632507 160.507031029 6087196.01385 
84.8408265429 -180.487230093 -144.211423904 -32.9522404651 -27.6862123219 142.20470698 4042378.64261 
139.838240829 -54.1917964353 6.54915156945 0.607479697568 103.348482796 -2.76031831711 1980472.17017 
-186.643931472 -125.133102866 78.5974018141 38.1353848997 -79.52457803 33.957180004 5426728.25852 
-115.065457421 -131.604702328 -51.1610390855 100.398240154 -0.710711788989 57.9527899163 3041886.53187 
-33.0030755963 147.477917467 -96.5158084688 91.7213842305 -125.089042476 10.1827978606 3184137.79519 
91.7006884405 -111.938934573 81.9990319673 108.632301657 159.207325466 196.074903968 3288178.96955 
-43.2512874136 101.616348306 -76.9557543717 -47.5086048428 57.4042715956 -65.9943138332 3981807.48867 
41.4240944428 -33.9842055731 -168.302545357 6.74404867572 89.0168677987 191.307977187 2050638.3766 
-167.135907577 73.223064604 29.9921907204 -148.9549582 196.756677608 26.4325100801 7139136.74707 
180.320838705 -72.0158385007 -54.0322053752 133.786750076 123.59623248 32.3389474432 4719439.46781 
150.1059148 -175.260294676 -88.8878213975 -103.422357883 127.385901349 94.7412372799 3839365.17595 
152.74327744 27.7937310215 159.203647753 109.914808835 -175.574194445 135.633470887 4813731.57391 
141.82729548 -105.720176982 38.136788994 20.3662749042 122.086084589 192.40298912 2485916.39386 
46.8782475688 80.704666554 -22.2832798386 -48.4107458613 180.243270212 107.962709607 2202614.68432 
-88.5985244656 94.8960673694 97.3938659129 -150.627115335 43.0093942235 -3.5441713192 4136637.69349 
-7.46519592525 -78.4938255118 -134.784689173 34.6233023484 -27.7958663956 -63.1787264371 3948375.62432 
-144.846047538 11.0649574708 116.711972657 38.7951997546 118.772069162 -86.7341215387 2157187.44954 
83.7659217748 -63.1101771167 -114.785191625 23.2861027529 180.332429041 42.9081229346 2533610.89825 
-60.6118801272 -37.314109403 -147.152791199 -74.6943646993 191.370111924 150.110251629 2970357.61202 
59.4583390495 -100.899997286 154.019523282 -116.067531873 -22.7672918295 166.613684822 3361658.27323 
41.0316907864 39.4252710187 -80.361651474 -33.2038329514 178.32440375 153.346352222 1504128.11841 
182.975760689 -118.744700145 -20.1159426871 -119.721162722 100.00530695 142.535025004 2781473.45511 
80.6197829583 -107.478527968 -137.207951788 -62.1269124493 153.992782583 -139.600530787 4941905.11645 
85.2073762315 59.4090882796 -67.7023935465 -170.787526023 -15.1752179539 114.644019252 1127405.10595 
154.314977529 63.284851098 -163.767593686 -38.0633831914 110.145805389 181.71747559 3564480.52063 
22.1966727355 64.025166047 -177.17699009 -118.526222499 65.7004890492 -48.6101729871 4638985.33812 
108.807181779 14.7183850469 -89.4292671932 -189.849750409 106.338431202 94.5621783056 1991650.53361 
91.1403363014 -56.5893373401 -64.0303231056 -146.662354858 157.841235388 -128.850779813 3108021.89049 
185.342106511 108.229835527 188.863026345 -93.4202905092 32.0312697749 67.8057778541 4199688.83018 
185.692475301 -23.443781118 62.4653173072 -197.402100851 -111.844672731 182.529009829 3495935.4774 
83.7806257736 16.453500447 104.932033116 86.2536809482 -184.724323097 147.000101183 2706062.52849 
175.538987544 -99.4605999205 -175.820466571 -13.5115318219 -57.8210054575 152.97286269 4638372.61662 
-161.06357797 22.4204226897 -143.601022291 -197.073909215 163.103706483 185.305533974 7121062.1282 
-12.7241961325 31.4850262203 -106.767297769 -108.162682749 61.0475627994 -169.571170061 4627783.17121 
33.7850534386 53.0694101126 32.6781821386 -79.2818000647 -162.931847179 14.9746558609 1172012.39935 
22.5730219552 -77.1712672764 -99.4067079153 -108.657314664 37.1049948853 57.4498885128 1917087.64707 
117.871476698 -45.2141474088 36.9065512011 -116.285531999 -131.503366488 70.6908549298 2405797.05455 
122.803774306 54.9642442177 1.32227149619 25.8778751135 96.3023650534 -74.0351160292 2749124.69794 
143.894565878 -40.760977379 -123.043995115 -113.854170203 140.480582778 36.8749572536 2823448.32216 
142.842930571 68.2792848381 -29.9224747528 113.500187832 46.0029089592 167.041631358 3156471.8943 
-62.6580453182 1.23477955798 -109.906520703 197.980580537 -189.45398117 -32.8403225031 3549644.20527 
127.562690914 -190.922067157 199.989515732 -183.018821407 44.3570847453 103.47682744 5572108.69799 
143.506451075 95.3940560353 114.066067558 86.4366948052 -108.060805351 175.176148102 3939350.66632 
115.576745393 -66.9924750157 -76.4053202452 36.1147115459 171.948226908 -25.0576544382 3316810.11704 
159.899848437 193.272041598 -119.004207415 -2.12509177737 -30.2223046302 -113.946750037 6371360.69104 
-65.3187930822 -68.0899552801 -89.2584484653 14.9169280837 -11.5786671414 -12.995587301 2937917.6626 
49.2413264969 -69.4538636759 -116.799300101 126.046334036 88.9446312767 199.041630031 1975441.79913 
