# group: 1 2 3 1 2 3 
# component: primary primary primary secondary secondary secondary 
# name: rv rv rv rv rv rv 

-4.97809385699 48.4671616511 111.637200423 -103.655783455 10.3849699378 70.05785231 1586413.39346 
7.48213172018 96.2278515216 -110.844107401 -8.60015810045 -50.1673558127 84.7902969073 1512543.71833 
-119.714477786 24.797430238 -86.0048695318 -104.493261544 51.7694279095 109.487258454 3756247.55615 
-99.5954938342 32.1989954584 -93.4793357307 -39.4351478458 -98.1441382458 -35.9550074663 3758025.79484 
24.9743127477 -60.9217594155 -41.5187404595 20.1915770798 -70.6753358478 -94.4957637421 2711129.95728 
80.1454554571 86.870650013 -24.8027085176 -65.1375259997 49.2513451664 -102.92749624 2302121.99144 
-39.751405121 54.1351677557 57.9263752122 -101.178879675 66.4316619161 -19.956411775 2276928.46346 
-88.6059321083 -110.344481866 36.3914568257 -22.7778900897 68.7128255087 -74.1418839284 2461067.54604 
-95.6694375875 -37.2560816029 -53.1714608803 14.931698282 117.365050289 -3.68284458184 2503217.26699 
-91.3607816138 -37.9739341407 -57.216015188 94.6920777225 -2.76297140688 -55.509669531 2405058.19213 
112.08745404 41.9601438803 51.7838584657 -55.3130564076 28.9132465924 -10.2947311284 1092125.79502 
-11.4812209914 63.6699972543 -69.7463426467 -57.7416536788 -55.8612776286 -45.2525929032 2224298.66297 
-71.813203411 89.1080779304 -68.2238953003 116.079260583 -42.4280224982 41.923717461 1622975.68985 
52.994161951 -42.990894882 97.0823798766 -14.8101379154 37.4343736046 -110.273779216 367177.246058 
-53.54464382 56.9493572541 108.32617914 -18.2526103151 71.2144872984 -53.0618788298 1608168.38449 
52.994161951 -97.3116062768 48.7330842719 -54.6034255187 37.4343736046 -110.273779216 987337.598223 
50.5105957528 -23.3029656631 42.8655577001 100.824014657 88.9491763845 48.4876699538 1294779.011 
92.7608947902 26.5587592869 -69.1775579526 33.2160349994 -62.0289821757 -100.652254261 2848742.39389 
-26.8659636625 -98.6053310277 38.8481902767 73.0560801737 -102.329679115 -90.4919239354 2748888.7712 
-45.7670427616 -32.8661003247 57.7047281124 87.7602563336 -78.3916379431 -87.4327638 1116938.5205 
-20.4478426992 47.4679538484 28.1405442985 -28.6525339033 106.718085404 -96.7685715985 1629684.35358 
79.8545119305 -20.5667553113 -23.2049938183 -78.3370349456 -104.966345119 95.3981777658 1166785.02994 
56.7113325856 -63.0754107629 102.572645724 -40.6702635305 110.756605262 24.3096343921 895555.715585 
-6.42973508597 28.5786106983 38.4596761769 75.9846460318 92.0220689864 86.9980797496 1135213.40131 
108.504368114 2.34409833181 52.8422184641 -1.35931657249 -19.3702830554 -112.594417966 826323.409512 
-35.3494574354 -13.527683665 101.536285489 13.9041091586 34.8511308225 76.169489315 1242572.79062 
-53.0143331098 13.7648604076 -73.4793131627 5.72047304133 -80.5307279101 -39.8398364142 2570077.07467 
29.7595455205 28.9750347166 54.8142637911 -43.0879858743 73.0516416652 2.86860096338 966888.809437 
-26.1347268665 78.9656327097 56.2917449403 8.82147478627 -76.4505417771 115.325780299 1124186.96913 
36.1503413103 4.44071794792 -26.5413452808 -81.5532688803 67.1836384162 53.2524893639 955456.925866 
-47.9292978381 -65.9688919896 76.5456854183 -115.063089465 39.0678570171 16.8438869459 2284550.96409 
-2.07921198079 -89.2671803402 92.9782603336 76.5119411089 -14.7019437891 -1.7358638762 1493953.4683 
-26.8517935534 -51.5402904416 21.4849371454 -93.4653343423 -106.55107083 -88.1073184454 2633205.44393 
44.0421139427 -69.722918537 -106.569252251 56.9176666714 -7.77543287812 108.89627097 1732830.00088 
62.7457483137 11.979737287 61.2568673207 -89.9612322454 96.0099178919 -23.8877312097 938484.220048 
-83.8585436769 30.7200994047 -53.2297461082 -115.932237175 7.83223821189 61.6114938297 2930343.78951 
-15.4797509443 81.0670946968 48.3691245583 -75.3045185282 -83.7796151724 5.82066879442 1377981.913 
71.3413492536 -44.7321960024 4.16243633117 45.1734876414 83.5450170681 -68.8160210369 1598531.43796 
-31.9887079555 -78.0546840691 95.5671565517 -90.7587008263 55.5720805155 -95.4247107232 1408555.6043 
54.3266160549 52.6985953409 -18.0117325501 -51.6335797334 -8.89184051394 -66.7821874562 1172658.45827 
-99.3272386627 -41.7511571915 26.7111122163 -79.984830706 13.9453736736 -11.0192006695 2852708.3744 
85.3223507041 74.1885668411 -117.303461862 -91.1647051662 25.0035069215 -72.7617681355 3482252.9322 
90.1311166244 -94.8264148652 -5.02936156653 93.6217188207 112.234865971 -80.9773893978 2701897.71748 
48.2405687905 69.3348094334 71.8957782645 11.0499876997 -86.1666157891 -46.9160107544 794094.3336 
-42.8791946919 -63.0115673728 -66.0458198477 -91.6002674298 25.4330492065 54.0812967678 2270147.18521 
86.1627626021 43.7651359705 56.837628454 20.982020806 -1.00955556504 91.0346658417 1160619.95208 
2.04279782583 4.41796844901 -91.1959183639 -33.208765535 -89.2525639019 -100.008296495 2954649.78773 
-38.7331198112 59.7858296177 29.3042079498 -37.2716714147 0.35100554631 -64.770091461 1289239.53069 
18.6317652957 117.181466467 51.1167830551 10.1508193964 25.9754453883 29.5806630201 1874328.67282 
0.834059106436 -56.0990950802 -16.3104880538 54.8273539815 13.8473572647 -93.5555073429 1596800.40683 
67.8140106456 91.9350256143 -49.8989074958 90.3327124293 82.9442088617 -76.4012371418 3785695.01458 
-35.3300630515 -116.783212584 -13.2348126512 109.177898937 50.7780669608 64.1413045632 1621797.51352 
-0.0695354444138 -112.448331634 117.095513269 70.4153135942 -9.67865007691 -67.154484566 1525971.98362 
115.756157231 -10.2292115535 -28.191303866 12.8971225368 -20.2676064836 -77.1066158305 2097505.56027 
-116.455746423 -27.5720312077 66.9466861985 -1.72155480989 54.7262384541 -107.187980343 1755647.28386 
-40.0269849924 -73.9329765923 74.7047793078 113.763306569 -13.5926562054 110.643406212 1429340.7547 
74.8448613425 -16.8262799265 -14.6470203153 52.0591752554 -21.7002527939 101.272665828 1036941.91807 
-104.938076558 -37.0664829474 117.838649623 -19.3954598622 88.9304220585 -114.023374202 1689736.99579 
1.59827992492 -1.4702998452 -19.8054228592 -78.7750207684 29.1869078363 -69.3121792359 1548348.39555 
98.7591818533 -6.84946639844 -23.8517927401 31.9992148308 -114.765944741 77.1577464109 1835025.49161 
-19.3051688053 -118.688645162 -94.1697432557 -11.0916386987 4.52872087463 -40.3756035141 3537295.35953 
41.6166810963 112.629408083 40.8424149319 -51.2014685305 5.18355837501 39.0361283981 1379198.73234 
0.14089922663 -24.6024421128 -18.2598189576 -37.9154377771 -65.882471004 -100.911465922 1747127.10065 
93.1580785554 2.32388322591 29.4817179615 -41.7326107865 116.478868927 3.35297968676 1117441.6079 
22.1105410445 33.9734629352 116.268771763 -26.6269556458 -37.5466128614 -38.1319167471 352015.98551 
69.3201948281 -109.588363358 -113.556271625 -110.908735925 95.2981814062 20.2959653911 2733877.01962 
-77.1772396096 102.199756079 -96.9585552286 60.2475225537 41.5689349827 29.755000928 3049092.22254 
19.1875292113 -54.9876379322 39.6440690402 -110.163392741 -100.002927511 2.48859936398 2183928.25743 
53.7939155303 -6.29150225639 47.1925862854 -103.478145535 -2.94861548668 -49.3252774257 644016.748236 
-45.245278669 -73.1638469627 31.6369243453 -100.578771117 8.17898055137 -29.0042112039 2325732.89872 
12.396638718 -33.1786240263 -108.337986066 -24.8631933931 -10.0403147533 -22.4903830875 2361131.30569 
-27.0577732107 -104.067949224 104.911336026 60.5538649866 46.0843516208 22.6632053473 1585927.8844 
95.9370642689 0.235592095734 16.9334654377 -27.6685922355 -86.8261047586 103.528538266 959459.720232 
-104.772573009 -100.645976107 100.809833746 23.2621820885 -5.66005383927 -112.405566013 2110199.82297 
89.3434826988 -5.64416977324 3.37713645872 -86.5077930873 -32.2390335407 104.114082876 563514.619371 
-54.6262445396 59.8187405076 17.6222639705 118.024395606 113.308134316 79.1020138396 1710732.76727 
-6.60616624411 27.6884187717 -102.658327147 -71.6711865271 -118.306991038 -76.5614418207 3213172.36042 
16.1997885759 -104.022909224 -88.3665264776 -111.878511404 20.5769917214 -95.63788389 3651119.98514 
81.9208584736 18.7610795794 88.1736170748 25.589697117 60.5202045255 -90.7173327664 920237.09773 
45.3373597887 46.4664712695 -1.44895120383 -113.876774542 33.1549538025 -1.45991738691 1377653.07784 
46.0161454545 109.870111267 6.84833262028 -24.170520301 82.2772230728 72.9352344942 2236107.79728 
5.3289322496 23.0980280026 89.3032376536 98.3644737223 37.2808706163 -10.5593908123 837101.990995 
-47.6383331639 65.8542561189 -104.527261201 115.922137853 31.3506184724 -30.4853265369 2846043.82173 
81.278712832 44.2190108257 6.95907204503 45.726144966 18.8946045423 -40.4310137 1701484.41628 
103.18483588 75.8147899641 43.9880705407 47.0621415715 107.642722981 -54.9313686401 2757556.02981 
26.7727159248 16.075335831 56.9187174883 -54.6879173931 98.6136684941 -1.37616572703 964849.050088 
27.5501936582 18.0462279722 46.2140993634 -60.0402978287 95.1032524681 67.1616545655 963314.343026 
88.261293932 -117.092670025 93.872601085 41.2841916836 85.3124660651 -26.2176086999 2059919.8688 
55.9701502628 10.5735611468 84.0508013496 -11.8171072752 7.06341718745 -56.9895062619 355185.228657 
18.3317935234 76.465246046 -20.3658594884 1.64566694023 16.38990647 111.722047455 888188.596285 
-4.97809385699 41.820706156 103.794772832 0.655755970753 -25.9103878329 -112.807601608 266490.186525 
53.2940681841 52.2842062608 -110.844107401 43.5500565539 83.3509407518 -106.029713669 4074890.93495 
1.89079031986 24.797430238 83.9308882853 87.1082751281 51.7694279095 22.9331919366 1007700.2543 
-68.6651640482 49.1611766709 34.8024070848 39.5381417594 -67.5025553543 65.3608831698 1145101.22399 
-7.59830767958 105.967207383 79.7816578949 -35.1098632286 -70.6753358478 -13.0139020496 1201434.23512 
40.0933618187 86.870650013 33.024477124 92.2800757103 43.2930239197 11.2059161323 1954410.74994 
-55.6787488373 54.1351677557 57.9263752122 -10.4979381082 -85.2562864653 3.1241271274 1337293.89629 
-73.8068865531 62.4404395263 118.273754267 51.8818567421 68.7128255087 -74.1418839284 1495532.02704 
-95.6694375875 -20.8365723034 -20.8036918024 115.006725373 -18.2344256696 -99.9578817418 1894928.74842 
-29.9391935589 1.14824354666 -91.9176431832 73.7990930232 107.163931357 -73.0491792014 2797809.45265 
-15.4275748943 107.071552489 119.735589744 -16.0006627284 66.0146544661 -10.2947311284 2253544.84639 
-30.31968746 51.1918030702 -113.609293067 32.5674272408 -98.1045719688 -53.8846323634 3035568.28906 
-71.813203411 89.1080779304 94.927513548 17.3376214665 -42.4280224982 -105.458845795 1069815.00434 
-100.381251697 43.8910265666 106.520336583 -17.2917951674 -7.36398131884 -64.7745876253 1507767.53061 
-53.54464382 56.9493572541 107.80689216 101.591538703 -57.6158321232 -53.0618788298 539314.890826 
-4.97809385699 51.2406166765 108.446163414 27.3418884349 -25.9103878329 -112.807601608 324373.554331 
-19.2192088252 -23.3029656631 -86.1167870816 -64.578263923 -30.7940886673 22.5806186655 1972836.87534 
-3.10687611457 -109.052217452 26.6377544029 2.6901216771 -104.562122594 -56.2280366834 3242380.95759 
-42.4645501872 88.9287609731 70.5637729709 21.0240638874 -102.329679115 -90.6194327431 1039698.38551 
-45.7670427616 64.3407242702 -47.4056296532 -44.9426017687 8.92935703546 -87.4327638 2563326.93207 
58.1390148397 47.4679538484 28.1405442985 2.86708178936 -71.5898039942 -9.00735159307 961955.097678 
-24.2622530265 -20.5667553113 -22.8213826942 7.28122738477 -62.1505859439 95.3981777658 1025855.78372 
56.7113325856 -63.0754107629 79.1502891193 -83.8148550413 6.05949124361 -101.639546951 564261.84083 
9.10753941753 0.679631894702 39.8285160036 40.5782173759 -25.859537803 86.9980797496 662534.762306 
-44.5571069476 88.0313175523 23.8844567196 -60.1459233496 -101.030085963 54.7477591947 1741355.25324 
14.2882221081 31.1870737308 100.181787748 -89.189336037 22.2500008318 76.169489315 1192081.00744 
9.92571112223 14.7968002283 89.9201403663 14.4341783237 32.6805648507 -69.9119459804 452512.461082 
3.82216657704 28.9750347166 58.9338949892 -43.0879858743 29.529622129 2.86860096338 841411.304094 
-48.2738604781 78.9656327097 109.887508682 26.4277336026 -119.733573271 63.665080951 1673229.48365 
35.1513106756 4.44071794792 -26.5413452808 42.8059933777 15.5542461086 -63.4408244726 1530175.4891 
50.0415125325 -16.0311161472 106.192006923 -113.02123577 84.4767204192 34.2534784734 1054905.20242 
-68.467283853 11.8499231291 81.8940318114 21.896528949 -23.8643441513 90.8997798681 1292445.72105 
36.8222207023 -6.61487329079 106.353681918 -102.590817112 -29.613645075 -99.0623160271 329861.886864 
36.5745411791 49.282004756 102.54767397 31.2427662142 52.0015335926 -107.97443438 827308.238646 
17.6888838811 64.5806300674 -37.0523847007 7.44234105697 96.0099178919 -30.9435639811 2446996.81881 
-54.973416369 30.7200994047 21.3582336392 -11.5709807269 -21.0569303927 -65.9354060861 1226610.65741 
-15.3975664424 -44.1555761001 -49.681754721 -44.4687628825 -44.3824306449 5.82066879442 1947301.30653 
104.2571101 39.5945271255 56.7227106313 -60.2958290804 -115.922420873 -87.1587147984 763605.807427 
47.471002692 5.76341755927 95.5671565517 -14.3084141974 55.5720805155 -35.1069299235 602798.267372 
-55.2900390258 65.5235451303 68.7623014473 -33.2654908348 -12.6383054372 6.17949159941 1402923.74614 
83.5985163811 -97.3397202461 70.5709053108 -102.109490193 -37.3535912206 29.3966306054 1996616.73591 
-48.0746843935 115.710577689 91.9037387225 48.8452534772 25.0035069215 0.057946022562 1985484.66137 
-26.128937768 -94.8264148652 50.4543919175 -53.2028642443 -18.8891348234 -73.9482363869 1775560.51323 
65.4911755662 21.955131654 93.5815264464 11.0499876997 35.5440788337 -4.90090340165 946021.020697 
53.8500136217 36.3564547552 64.1552075839 101.293878391 -75.2597306121 -25.2090398704 1210127.67046 
29.4722952882 -10.8164937356 54.1481887324 -48.8784949201 -42.6298383527 -118.512244603 421017.306672 
2.04279782583 30.1196161015 104.610811835 -68.1324509881 -52.5101498213 -37.6151195228 603779.860043 
98.9478193258 71.231336123 118.726966213 40.2769976021 0.35100554631 50.2678249109 1917898.62548 
29.1876540436 -38.2002647156 72.0022094265 10.1508193964 116.413827556 67.0458799603 962329.752914 
-81.2998741385 -56.0990950802 54.4854320717 29.5733602831 0.950386777649 79.9911701005 1605945.55724 
-51.0022564069 4.64556276653 99.7752761921 -35.4466922189 38.4890900744 -47.9046000821 1068465.66345 
26.5235213389 -116.783212584 44.0607292856 74.1333515899 -48.7733471216 -99.7489078515 2358630.47519 
35.8142059719 -19.2835653717 76.1911841676 36.3413686208 13.9565592984 -0.328763113756 818314.629571 
-107.78002848 2.30029750084 86.1605933271 77.5057165609 -116.811180951 -33.9078794648 1698918.86408 
-34.513939144 40.6006971716 66.9466861985 59.4136950145 -106.697720808 -105.526495647 661768.398269 
10.0120001124 -10.1942401047 56.464823387 -6.02990180557 -25.1029032718 25.2350480413 709578.998729 
74.8448613425 61.4968802718 11.1478888709 -4.84978911315 -0.665350197129 107.848387022 777090.872582 
-20.1783847359 -117.82542267 26.1910014461 14.3569490817 -33.8298595727 -49.2471163201 2435683.82287 
-37.2454792343 -14.1873851149 68.6658020087 88.3110486324 46.9104025084 -114.342648619 474279.482036 
30.9733586272 46.4159998817 -67.4959679377 -13.0125458047 0.921894319361 -65.2476760167 2012729.94563 
78.1268970722 -42.9009029077 62.4184329577 18.5333859608 31.0516550037 -107.062945032 847569.694973 
41.6166810963 52.4543385813 40.8424149319 90.5008479785 5.18355837501 39.0361283981 1154981.78914 
-29.8056166128 72.0435995791 -99.7348530678 92.73580149 -6.44312371347 82.5472365274 1308995.94316 
-34.8059577854 2.32388322591 93.0326617754 84.3375080417 -29.1117434418 -19.4274864763 590391.420636 
71.7086238218 62.2054298311 51.2448128839 -84.912578798 -37.2844859711 -33.0140305113 675788.47247 
-50.7789211019 67.6315547387 93.6590851637 -16.9912945381 -59.5623634845 20.2959653911 1288364.67728 
-3.7263771821 58.5124344622 -99.1218080371 48.1096701011 -9.53400403542 114.69883203 1051346.02411 
25.8583262933 -1.28318480775 -30.1137057685 -73.0121213776 -44.7347475427 -78.0568912224 1490532.83651 
-42.2470016859 42.9172945459 92.059884065 51.3026770126 -7.18713233902 -61.7030091222 542240.760407 
-45.245278669 72.1363690836 43.4227209364 105.603955154 14.2970286527 -106.996805299 936002.555833 
-69.5703202403 -33.1786240263 105.816412223 14.0316699655 -61.1318020132 -97.7143257896 1271508.49234 
64.2036525562 43.7824825994 104.911336026 -23.1037207362 33.4371665775 101.896712984 1293455.76691 
47.7561133521 0.235592095734 100.267227924 -27.6685922355 -37.5316393754 -70.8041309033 204323.277128 
90.7325891481 27.6900438376 99.0373013102 -31.0158565899 -0.314865783564 -14.5092884216 624172.197165 
68.3949637853 36.1073471379 3.37713645872 5.50619642547 -99.8563114446 50.0305432132 1066989.03975 
-98.4195194509 36.5167334712 53.3024814788 -63.8311338618 -23.3180199169 -27.2018749521 2229244.09739 
-5.82173419968 52.5889719753 -23.5415592756 -5.96007114169 -62.3457411805 -52.7540144265 1446341.53722 
16.1997885759 -26.5352347047 -118.908519441 -69.4188197127 -19.0938816913 -78.2962073526 3100925.59078 
28.8878067611 -29.881756186 113.745329118 -98.087172919 60.5202045255 -75.14120934 535028.518893 
45.3373597887 46.4664712695 99.8302907817 -5.27222047568 -97.0552104082 -67.2719035518 486450.196859 
-24.1254932493 19.1523158275 6.84833262028 -91.4416304155 -51.7163509076 -92.9140138474 1566015.97119 
5.3289322496 -35.8090758547 89.3032376536 -38.0115594557 22.1278458677 7.90206538638 779913.984609 
69.3716842024 -47.7180348158 -104.527261201 -34.2800226448 -48.4297840223 -70.3299733699 3112958.14976 
38.7465300658 -14.5104561432 92.0233313047 -67.0554307662 30.3751583758 -92.5678794391 195139.525538 
-6.81099446865 -37.7303712019 90.5811276243 47.0621415715 107.642722981 -61.3195005847 604540.257425 
111.359896172 16.075335831 1.50535789792 39.4011406261 -56.3425770713 -79.8274754872 1920042.00279 
27.5501936582 18.0462279722 99.5089921206 -61.4784755658 79.110780346 103.662901269 1263982.22963 
108.582742186 -117.092670025 93.872601085 -46.4010780183 94.8198727566 -66.1880961684 1398051.23754 
22.40407448 39.1935951521 -69.855234349 -11.8171072752 7.06341718745 -35.7033800758 1890780.8489 
85.1908784679 11.4079567531 -60.1321425143 -76.5127532836 19.3982063404 -88.3494735584 1999123.47849 
82.9099722492 -78.1442597053 99.5402040358 -5.70473888385 -25.9103878329 38.5536333394 1703717.40906 
4.89854686833 4.44799385075 -110.844107401 -8.60015810045 -12.1837030726 -26.048972201 2303828.91933 
1.89079031986 -26.2316407112 111.432459914 87.1082751281 -69.6108974226 22.9331919366 1291003.77775 
37.7386586573 -30.3732894136 34.8024070848 -46.6417714488 80.9643540226 8.70011521387 760683.174893 
31.5141386675 48.5955716067 76.2144837125 -35.1098632286 -44.8578305416 -13.0139020496 492368.600659 
40.0933618187 -6.0662868895 46.4033986523 -7.95615358715 37.0930266535 -106.896798613 506944.325159 
-55.6787488373 54.1351677557 104.192952673 -10.4979381082 2.23357477154 -65.1846942355 958721.786466 
